"id","name","genre","year","score","director","writer","star","company"
278,"Jack the Giant Slayer","Adventure",2013,6.2,19,"Darren Lemke","Nicholas Hoult","New Line Cinema"
279,"Interstellar","Adventure",2014,8.6,7,"Jonathan Nolan","Matthew McConaughey","Paramount Pictures"
280,"Captain America: The Winter Soldier","Action",2014,7.7,3,"Christopher Markus","Chris Evans","Marvel Entertainment"
281,"The Hobbit: The Battle of the Five Armies","Adventure",2014,7.4,4,"Fran Walsh","Ian McKellen","New Line Cinema"
282,"Chef","Adventure",2014,7.3,12,"Jon Favreau","Jon Favreau","Aldamisa Entertainment"
283,"X-Men: Days of Future Past","Action",2014,7.9,19,"Simon Kinberg","Patrick Stewart","Twentieth Century Fox"
284,"American Sniper","Action",2014,7.3,25,"Jason Hall","Bradley Cooper","Warner Bros."
285,"The Hunger Games: Mockingjay - Part 1","Action",2014,6.6,24,"Peter Craig","Jennifer Lawrence","Lionsgate"
286,"Transformers: Age of Extinction","Action",2014,5.6,5,"Ehren Kruger","Mark Wahlberg","Paramount Pictures"
287,"Exodus: Gods and Kings","Action",2014,6,10,"Adam Cooper","Christian Bale","Chernin Entertainment"
288,"Clown","Horror",2014,5.7,17,"Christopher Ford","Andy Powers","Cross Creek Pictures"
289,"Big Eyes","Biography",2014,7,9,"Scott Alexander","Amy Adams","The Weinstein Company"
290,"Jersey Boys","Biography",2014,6.8,25,"Marshall Brickman","John Lloyd Young","Four Seasons Partnership"
291,"Furious 7","Action",2015,7.1,18,"Chris Morgan","Vin Diesel","Universal Pictures"
292,"The Martian","Adventure",2015,8,10,"Drew Goddard","Matt Damon","Twentieth Century Fox"
293,"Star Wars: Episode VII - The Force Awakens","Action",2015,7.8,8,"Lawrence Kasdan","Daisy Ridley","Lucasfilm"
294,"In the Heart of the Sea","Action",2015,6.9,13,"Charles Leavitt","Chris Hemsworth","Warner Bros."
295,"The Hunger Games: Mockingjay - Part 2","Action",2015,6.6,24,"Peter Craig","Jennifer Lawrence","Lionsgate"
296,"The Visit","Horror",2015,6.2,30,"M. Night Shyamalan","Olivia DeJonge","Blinding Edge Pictures"
297,"Minions","Animation",2015,6.4,29,"Brian Lynch","Sandra Bullock","Illumination Entertainment"
298,"Tomorrowland","Action",2015,6.4,23,"Damon Lindelof","George Clooney","Walt Disney Pictures"
299,"Bridge of Spies","Drama",2015,7.6,1,"Matt Charman","Tom Hanks","Dreamworks Pictures"
300,"Pixels","Action",2015,5.5,15,"Tim Herlihy","Adam Sandler","Columbia Pictures"
301,"The Walk","Action",2015,7.3,11,"Robert Zemeckis","Joseph Gordon-Levitt","Sony Pictures Entertainment (SPE)"
302,"Cop Car","Crime",2015,6.3,17,"Jon Watts","Kevin Bacon","Audax Films"
303,"Captain America: Civil War","Action",2016,7.8,3,"Christopher Markus","Chris Evans","Marvel Studios"
304,"Split","Horror",2016,7.3,30,"M. Night Shyamalan","James McAvoy","Universal Pictures"
305,"X-Men: Apocalypse","Action",2016,6.9,19,"Simon Kinberg","James McAvoy","Twentieth Century Fox"
306,"The Conjuring 2","Horror",2016,7.3,18,"Chad Hayes","Vera Farmiga","New Line Cinema"
308,"13 Hours","Action",2016,7.3,5,"Chuck Hogan","John Krasinski","Paramount Pictures"
309,"Batman v Superman: Dawn of Justice","Action",2016,6.4,28,"Chris Terrio","Ben Affleck","Warner Bros."
310,"Independence Day: Resurgence","Action",2016,5.2,16,"Nicolas Wright","Liam Hemsworth","Twentieth Century Fox"
311,"Miss Peregrine's Home for Peculiar Children","Adventure",2016,6.7,9,"Ransom Riggs","Eva Green","Twentieth Century Fox"
312,"Fantastic Beasts and Where to Find Them","Adventure",2016,7.3,6,"J.K. Rowling","Eddie Redmayne","Heyday Films"
313,"War Dogs","Biography",2016,7.1,27,"Stephen Chin","Jonah Hill","BZ Entertainment"
314,"The Legend of Tarzan","Action",2016,6.2,6,"Adam Cozad","Alexander Skarsgård","Village Roadshow Pictures"
315,"Inferno","Action",2016,6.2,13,"Dan Brown","Tom Hanks","Columbia Pictures"
316,"The Jungle Book","Adventure",2016,7.4,12,"Justin Marks","Neel Sethi","Fairview Entertainment"
317,"Allied","Action",2016,7.1,11,"Steven Knight","Brad Pitt","Paramount Pictures"
318,"Sully","Biography",2016,7.4,25,"Todd Komarnicki","Tom Hanks","Flashlight Films"
319,"A Cure for Wellness","Drama",2016,6.4,21,"Justin Haythe","Dane DeHaan","New Regency Productions"
320,"The Secret Life of Pets","Animation",2016,6.5,26,"Cinco Paul","Louis C.K.","Universal Pictures"
321,"The BFG","Adventure",2016,6.4,1,"Melissa Mathison","Mark Rylance","Walt Disney Pictures"
322,"Spider-Man: Homecoming","Action",2017,7.4,17,"Jonathan Goldstein","Tom Holland","Columbia Pictures"
323,"Dunkirk","Action",2017,7.8,7,"Christopher Nolan","Fionn Whitehead","Syncopy"
324,"Alien: Covenant","Horror",2017,6.4,10,"Dan O'Bannon","Michael Fassbender","Twentieth Century Fox"
325,"Justice League","Action",2017,6.1,28,"Jerry Siegel","Ben Affleck","Warner Bros."
326,"Transformers: The Last Knight","Action",2017,5.2,5,"Art Marcum","Mark Wahlberg","Paramount Pictures"
327,"The Post","Drama",2017,7.2,1,"Liz Hannah","Meryl Streep","Twentieth Century Fox"
328,"All the Money in the World","Biography",2017,6.8,10,"David Scarpa","Michelle Williams","Imperative Entertainment"
329,"Despicable Me 3","Animation",2017,6.3,29,"Cinco Paul","Steve Carell","Illumination Entertainment"
330,"Avengers: Infinity War","Action",2018,8.4,3,"Christopher Markus","Robert Downey Jr.","Marvel Studios"
331,"Bohemian Rhapsody","Biography",2018,7.9,19,"Anthony McCarten","Rami Malek","Twentieth Century Fox"
332,"Aquaman","Action",2018,6.9,18,"David Leslie Johnson-McGoldrick","Jason Momoa","Warner Bros."
333,"Ready Player One","Action",2018,7.4,1,"Zak Penn","Tye Sheridan","Warner Bros."
334,"Solo: A Star Wars Story","Action",2018,6.9,13,"Jonathan Kasdan","Alden Ehrenreich","Lucasfilm"
335,"Red Sparrow","Action",2018,6.6,24,"Justin Haythe","Jennifer Lawrence","Chernin Entertainment"
336,"Incredibles 2","Animation",2018,7.6,23,"Brad Bird","Craig T. Nelson","Walt Disney Pictures"
337,"Fantastic Beasts: The Crimes of Grindelwald","Adventure",2018,6.5,6,"J.K. Rowling","Eddie Redmayne","Heyday Films"
338,"The Mule","Crime",2018,7,25,"Nick Schenk","Clint Eastwood","Warner Bros."
339,"Welcome to Marwen","Biography",2018,6.2,11,"Robert Zemeckis","Steve Carell","Universal Pictures"
340,"The 15:17 to Paris","Biography",2018,5.3,25,"Dorothy Blyskal","Alek Skarlatos","Warner Bros."
341,"Avengers: Endgame","Action",2019,8.4,3,"Christopher Markus","Robert Downey Jr.","Marvel Studios"
342,"Joker","Crime",2019,8.4,27,"Todd Phillips","Joaquin Phoenix","Warner Bros."
343,"Spider-Man: Far from Home","Action",2019,7.5,17,"Chris McKenna","Tom Holland","Columbia Pictures"
344,"Star Wars: Episode IX - The Rise of Skywalker","Action",2019,6.5,8,"Chris Terrio","Daisy Ridley","Walt Disney Pictures"
346,"Glass","Drama",2019,6.6,30,"M. Night Shyamalan","James McAvoy","Buena Vista International"
347,"The Lion King","Animation",2019,6.9,12,"Jeff Nathanson","Donald Glover","Walt Disney Pictures"
348,"The Secret Life of Pets 2","Animation",2019,6.5,26,"Brian Lynch","Patton Oswalt","Universal Pictures"
349,"Dumbo","Adventure",2019,6.3,9,"Ehren Kruger","Colin Farrell","Walt Disney Pictures"
350,"Tenet","Action",2020,7.4,7,"Christopher Nolan","John David Washington","Warner Bros."
